Date Open High Low - 
22/01/2019	71.51		71.51		71.14
21/01/2019	71.24		71.535		71.125
20/01/2019	71.255		71.255		71.24
18/01/2019	71.04		71.274		70.987
17/01/2019	71.146		71.416		70.972
16/01/2019	71.11		71.265		70.934
15/01/2019	70.75		71.156		70.723
14/01/2019	70.4		70.95		70.36
13/01/2019	70.38		70.38		70.38
11/01/2019	70.43		70.602		70.356
10/01/2019	70.53		70.655		70.318
09/01/2019	70.11		70.647		70.05
08/01/2019	69.806		70.24		69.765
07/01/2019	69.532		69.953		69.255
06/01/2019	69.535		69.535		69.535
04/01/2019	70.115		70.145		69.55
03/01/2019	70.3		70.531		70.034
02/01/2019	69.531		70.255		69.469
01/01/2019	69.635		69.745		69.444
